Taxa de fecundidade;;;;
Sigla;Código;Município;1991;2000
BA;2918308;Jitaúna;4,645;2,664
BA;2918357;João Dourado;4,818;3,025
BA;2918407;Juazeiro;2,927;2,478
BA;2918456;Jucuruçu;4,069;3,089
BA;2918506;Jussara;5,935;2,98
BA;2918555;Jussari;4,507;2,386
BA;2918605;Jussiape;3,39;2,18
BA;2918704;Lafaiete Coutinho;4,179;2,901
BA;2918753;Lagoa Real;5,083;2,94
BA;2918803;Laje;4,397;3,034
BA;2918902;Lajedão;2,99;2,61
BA;2919009;Lajedinho;4,149;3,599
BA;2919058;Lajedo do Tabocal;4,18;3,037
BA;2919108;Lamarão;4,36;3,14
BA;2919157;Lapão;3,458;3,076
BA;2919207;Lauro de Freitas;3,282;2,685
BA;2919306;Lençóis;5,55;4,047
BA;2919405;Licínio de Almeida;3,24;2,397
BA;2919504;Livramento de Nossa Senhora;4,301;2,55
BA;2919553;Luís Eduardo Magalhães;;
BA;2919603;Macajuba;5,122;3,264
BA;2919702;Macarani;3,979;3,121
BA;2919801;Macaúbas;4,705;2,795
BA;2919900;Macururé;3,287;2,508
BA;2919926;Madre de Deus;2,697;2,2
BA;2919959;Maetinga;4,172;2,714
BA;2920007;Maiquinique;4,233;3,232
BA;2920106;Mairi;3,867;3,079
BA;2920205;Malhada;4,88;3,793
BA;2920304;Malhada de Pedras;4,675;3,616
BA;2920403;Manoel Vitorino;3,913;2,61
BA;2920452;Mansidão;5,676;3,982
BA;2920502;Maracás;4,021;2,883
BA;2920601;Maragogipe;4,609;3,102
BA;2920700;Maraú;5,046;4,008
BA;2920809;Marcionílio Souza;5,572;3,401
BA;2920908;Mascote;5,021;3,169
BA;2921005;Mata de São João;3,97;2,38
BA;2921054;Matina;4,484;3,274
BA;2921104;Medeiros Neto;3,651;2,783
BA;2921203;Miguel Calmon;4,594;2,657
BA;2921302;Milagres;4,38;2,788
BA;2921401;Mirangaba;5,072;3,4
BA;2921450;Mirante;4,346;2,66
BA;2921500;Monte Santo;5,083;4,417
BA;2921609;Morpará;4,866;3,474
BA;2921708;Morro do Chapéu;5,856;3,494
BA;2921807;Mortugaba;3,434;2,741
BA;2921906;Mucugê;4,2;3,485
BA;2922003;Mucuri;3,581;3,075
BA;2922052;Mulungu do Morro;3,715;3,258
BA;2922102;Mundo Novo;4,557;3,08
BA;2922201;Muniz Ferreira;3,274;2,52
BA;2922250;Muquém de São Francisco;6,053;3,859
BA;2922300;Muritiba;3,576;2,29
BA;2922409;Mutuípe;4,793;2,697
BA;2922508;Nazaré;3,321;3,162
BA;2922607;Nilo Peçanha;5,104;3,637
BA;2922656;Nordestina;6,44;4,221
BA;2922706;Nova Canaã;4,631;2,902
BA;2922730;Nova Fátima;4,235;2,61
BA;2922755;Nova Ibiá;5,581;3,17
BA;2922805;Nova Itarana;5,941;4,279
BA;2922854;Nova Redenção;6,27;4,143
BA;2922904;Nova Soure;3,875;3,373
BA;2923001;Nova Viçosa;4,879;3,399
BA;2923035;Novo Horizonte;4,245;2,284
BA;2923050;Novo Triunfo;3,914;3,076
BA;2923100;Olindina;4,437;3,622
BA;2923209;Oliveira dos Brejinhos;5,835;4,428
BA;2923308;Ouriçangas;5,427;2,928
BA;2923357;Ourolândia;6,374;3,74
BA;2923407;Palmas de Monte Alto;4,883;3,201
BA;2923506;Palmeiras;5,549;4,212
BA;2923605;Paramirim;5,448;2,55
BA;2923704;Paratinga;5,345;3,676
BA;2923803;Paripiranga;4,034;3,124
BA;2923902;Pau Brasil;4,767;3,273
BA;2924009;Paulo Afonso;3,226;2,361
BA;2924058;Pé de Serra;4,118;2,791
BA;2924108;Pedrão;4,083;2,335
BA;2924207;Pedro Alexandre;6,385;3,51
BA;2924306;Piatã;4,8;2,801
BA;2924405;Pilão Arcado;6,157;3,219
BA;2924504;Pindaí;5,047;2,775
BA;2924603;Pindobaçu;4,849;2,877
BA;2924652;Pintadas;4,045;2,861
BA;2924678;Piraí do Norte;5,004;3,618
BA;2924702;Piripá;3,661;2,358
BA;2924801;Piritiba;3,524;2,838
BA;2924900;Planaltino;4,512;3,129
BA;2925006;Planalto;4,519;2,395
BA;2925105;Poções;3,651;3,222
BA;2925204;Pojuca;3,966;2,38
BA;2925253;Ponto Novo;5,072;2,444
BA;2925303;Porto Seguro;4,147;3,158
BA;2925402;Potiraguá;5,688;3,094
BA;2925501;Prado;4,634;3,515
BA;2925600;Presidente Dutra;3,216;2,927
BA;2925709;Presidente Jânio Quadros;4,031;2,746
BA;2925758;Presidente Tancredo Neves;4,737;3,179
BA;2925808;Queimadas;3,924;3,625
BA;2925907;Quijingue;5,852;3,765
BA;2925931;Quixabeira;5,444;3,43
BA;2925956;Rafael Jambeiro;4,594;2,81
BA;2926004;Remanso;3,737;2,403
BA;2926103;Retirolândia;4,132;2,744
BA;2926202;Riachão das Neves;5,408;3,782
BA;2926301;Riachão do Jacuípe;3,962;2,803
BA;2926400;Riacho de Santana;4,4;2,976
BA;2926509;Ribeira do Amparo;5,717;3,953
BA;2926608;Ribeira do Pombal;4,501;3,666
BA;2926657;Ribeirão do Largo;4,576;2,703
BA;2926707;Rio de Contas;3,573;2,378
BA;2926806;Rio do Antônio;3,438;3,01
BA;2926905;Rio do Pires;4,726;2,708
BA;2927002;Rio Real;4,993;3,161
BA;2927101;Rodelas;3,226;2,812
BA;2927200;Ruy Barbosa;3,867;3,007
BA;2927309;Salinas da Margarida;4,178;2,323
BA;2927408;Salvador;2,115;1,687
BA;2927507;Santa Bárbara;3,775;2,409
BA;2927606;Santa Brígida;6,106;3,307
BA;2927705;Santa Cruz Cabrália;4,078;3,103
BA;2927804;Santa Cruz da Vitória;4,14;2,65
BA;2927903;Santa Inês;3,963;2,608
BA;2928000;Santaluz;4,64;2,679
BA;2928059;Santa Luzia;5,175;3,605
BA;2928109;Santa Maria da Vitória;4,538;3,576
BA;2928208;Santana;4,348;3,653
BA;2928307;Santanópolis;3,382;2,25
BA;2928406;Santa Rita de Cássia;5,499;3,298
BA;2928505;Santa Teresinha;4,698;2,875
BA;2928604;Santo Amaro;3,208;2,147
BA;2928703;Santo Antônio de Jesus;3,21;2,15
BA;2928802;Santo Estêvão;5,857;3,65
BA;2928901;São Desidério;5,26;3,642
BA;2928950;São Domingos;4,231;2,751
BA;2929008;São Félix;3,83;2,288
BA;2929057;São Félix do Coribe;5,212;3,282
BA;2929107;São Felipe;3,243;2,56
BA;2929206;São Francisco do Conde;3,441;2,512
BA;2929255;São Gabriel;5,039;2,954
BA;2929305;São Gonçalo dos Campos;3,37;2,552
BA;2929354;São José da Vitória;5,63;3,276
BA;2929370;São José do Jacuípe;5,686;2,845
BA;2929404;São Miguel das Matas;3,608;2,795
BA;2929503;São Sebastião do Passé;3,212;2,38
BA;2929602;Sapeaçu;4,567;2,319
BA;2929701;Sátiro Dias;4,633;2,701
BA;2929750;Saubara;3,378;2,79
BA;2929800;Saúde;4,377;2,697
BA;2929909;Seabra;3,947;3,511
BA;2930006;Sebastião Laranjeiras;4,397;3,946
BA;2930105;Senhor do Bonfim;3,342;2,421
BA;2930154;Serra do Ramalho;5,62;4,28
BA;2930204;Sento Sé;4,591;3,194
BA;2930303;Serra Dourada;4,939;3,398
BA;2930402;Serra Preta;5,272;2,818
BA;2930501;Serrinha;3,15;2,8
BA;2930600;Serrolândia;4,891;2,948
BA;2930709;Simões Filho;3,381;2,202
BA;2930758;Sítio do Mato;5,85;4,221
BA;2930766;Sítio do Quinto;4,969;3,125
BA;2930774;Sobradinho;3,302;2,638
BA;2930808;Souto Soares;3,748;2,981
BA;2930907;Tabocas do Brejo Velho;6,276;3,538
BA;2931004;Tanhaçu;4,334;2,573
BA;2931053;Tanque Novo;4,522;3,189
BA;2931103;Tanquinho;4,048;2,34
BA;2931202;Taperoá;3,82;3,773
BA;2931301;Tapiramutá;5,152;3,53
BA;2931350;Teixeira de Freitas;3,32;2,727
BA;2931400;Teodoro Sampaio;3,335;2,508
BA;2931509;Teofilândia;4,304;3,466
BA;2931608;Teolândia;5,433;3,624
BA;2931707;Terra Nova;3,621;2,377
BA;2931806;Tremedal;3,168;3,07
BA;2931905;Tucano;4,314;3,631
BA;2932002;Uauá;4,525;3,085
BA;2932101;Ubaíra;4,798;3,06
BA;2932200;Ubaitaba;4,532;2,475
BA;2932309;Ubatã;4,137;2,651
BA;2932408;Uibaí;3,523;2,648
BA;2932457;Umburanas;5,708;3,05
BA;2932507;Una;5,606;2,379
BA;2932606;Urandi;4,265;3,472
BA;2932705;Uruçuca;4,293;2,47
BA;2932804;Utinga;4,781;3,989
BA;2932903;Valença;3,529;2,442
BA;2933000;Valente;4,544;2,74
BA;2933059;Várzea da Roça;4,814;3,023
BA;2933109;Várzea do Poço;3,279;2,809
BA;2933158;Várzea Nova;4,223;3,631
BA;2933174;Varzedo;3,728;2,616
BA;2933208;Vera Cruz;4,006;2,744
BA;2933257;Vereda;3,428;2,644
BA;2933307;Vitória da Conquista;3,257;2,065
BA;2933406;Wagner;4,354;3,51
BA;2933455;Wanderley;6,071;3,07
BA;2933505;Wenceslau Guimarães;4,192;3,001
BA;2933604;Xique-Xique;5,21;3,837
BA;2999919;Trancoso;;
