Índice de Desenvolvimento Humano Municipal-ed 2003;;;;
Sigla;Código;Município;1991;2000
BA;2918902;Lajedão;0,561;0,639
BA;2919009;Lajedinho;0,466;0,583
BA;2919058;Lajedo do Tabocal;0,491;0,624
BA;2919108;Lamarão;0,478;0,608
BA;2919157;Lapão;0,52;0,621
BA;2919207;Lauro de Freitas;0,677;0,771
BA;2919306;Lençóis;0,51;0,614
BA;2919405;Licínio de Almeida;0,581;0,675
BA;2919504;Livramento de Nossa Senhora;0,571;0,654
BA;2919553;Luís Eduardo Magalhães;;
BA;2919603;Macajuba;0,482;0,59
BA;2919702;Macarani;0,51;0,637
BA;2919801;Macaúbas;0,491;0,629
BA;2919900;Macururé;0,467;0,599
BA;2919926;Madre de Deus;0,661;0,74
BA;2919959;Maetinga;0,493;0,587
BA;2920007;Maiquinique;0,505;0,623
BA;2920106;Mairi;0,526;0,605
BA;2920205;Malhada;0,438;0,575
BA;2920304;Malhada de Pedras;0,492;0,619
BA;2920403;Manoel Vitorino;0,473;0,588
BA;2920452;Mansidão;0,531;0,638
BA;2920502;Maracás;0,498;0,609
BA;2920601;Maragogipe;0,544;0,634
BA;2920700;Maraú;0,489;0,594
BA;2920809;Marcionílio Souza;0,453;0,6
BA;2920908;Mascote;0,481;0,596
BA;2921005;Mata de São João;0,584;0,671
BA;2921054;Matina;0,476;0,592
BA;2921104;Medeiros Neto;0,591;0,682
BA;2921203;Miguel Calmon;0,506;0,619
BA;2921302;Milagres;0,539;0,624
BA;2921401;Mirangaba;0,46;0,589
BA;2921450;Mirante;0,493;0,563
BA;2921500;Monte Santo;0,41;0,534
BA;2921609;Morpará;0,518;0,64
BA;2921708;Morro do Chapéu;0,503;0,605
BA;2921807;Mortugaba;0,56;0,654
BA;2921906;Mucugê;0,51;0,621
BA;2922003;Mucuri;0,525;0,69
BA;2922052;Mulungu do Morro;0,479;0,578
BA;2922102;Mundo Novo;0,527;0,642
BA;2922201;Muniz Ferreira;0,531;0,653
BA;2922250;Muquém de São Francisco;0,466;0,603
BA;2922300;Muritiba;0,57;0,676
BA;2922409;Mutuípe;0,502;0,657
BA;2922508;Nazaré;0,555;0,676
BA;2922607;Nilo Peçanha;0,451;0,592
BA;2922656;Nordestina;0,419;0,55
BA;2922706;Nova Canaã;0,497;0,596
BA;2922730;Nova Fátima;0,555;0,635
BA;2922755;Nova Ibiá;0,466;0,616
BA;2922805;Nova Itarana;0,425;0,568
BA;2922854;Nova Redenção;0,493;0,587
BA;2922904;Nova Soure;0,484;0,596
BA;2923001;Nova Viçosa;0,548;0,658
BA;2923035;Novo Horizonte;0,59;0,658
BA;2923050;Novo Triunfo;0,434;0,581
BA;2923100;Olindina;0,441;0,593
BA;2923209;Oliveira dos Brejinhos;0,534;0,647
BA;2923308;Ouriçangas;0,494;0,618
BA;2923357;Ourolândia;0,413;0,542
BA;2923407;Palmas de Monte Alto;0,52;0,641
BA;2923506;Palmeiras;0,566;0,679
BA;2923605;Paramirim;0,551;0,643
BA;2923704;Paratinga;0,483;0,617
BA;2923803;Paripiranga;0,509;0,596
BA;2923902;Pau Brasil;0,484;0,6
BA;2924009;Paulo Afonso;0,625;0,719
BA;2924058;Pé de Serra;0,513;0,63
BA;2924108;Pedrão;0,556;0,627
BA;2924207;Pedro Alexandre;0,384;0,535
BA;2924306;Piatã;0,517;0,636
BA;2924405;Pilão Arcado;0,41;0,546
BA;2924504;Pindaí;0,535;0,641
BA;2924603;Pindobaçu;0,469;0,596
BA;2924652;Pintadas;0,502;0,625
BA;2924678;Piraí do Norte;0,452;0,605
BA;2924702;Piripá;0,523;0,635
BA;2924801;Piritiba;0,524;0,639
BA;2924900;Planaltino;0,488;0,577
BA;2925006;Planalto;0,453;0,598
BA;2925105;Poções;0,511;0,616
BA;2925204;Pojuca;0,65;0,708
BA;2925253;Ponto Novo;0,429;0,6
BA;2925303;Porto Seguro;0,59;0,699
BA;2925402;Potiraguá;0,512;0,605
BA;2925501;Prado;0,512;0,665
BA;2925600;Presidente Dutra;0,507;0,614
BA;2925709;Presidente Jânio Quadros;0,462;0,587
BA;2925758;Presidente Tancredo Neves;0,442;0,605
BA;2925808;Queimadas;0,47;0,613
BA;2925907;Quijingue;0,377;0,526
BA;2925931;Quixabeira;0,474;0,606
BA;2925956;Rafael Jambeiro;0,479;0,569
BA;2926004;Remanso;0,51;0,615
BA;2926103;Retirolândia;0,518;0,625
BA;2926202;Riachão das Neves;0,499;0,569
BA;2926301;Riachão do Jacuípe;0,557;0,646
BA;2926400;Riacho de Santana;0,511;0,632
BA;2926509;Ribeira do Amparo;0,395;0,549
BA;2926608;Ribeira do Pombal;0,481;0,603
BA;2926657;Ribeirão do Largo;0,426;0,568
BA;2926707;Rio de Contas;0,551;0,653
BA;2926806;Rio do Antônio;0,501;0,59
BA;2926905;Rio do Pires;0,55;0,635
BA;2927002;Rio Real;0,514;0,6
BA;2927101;Rodelas;0,614;0,655
BA;2927200;Ruy Barbosa;0,562;0,644
